# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:gr.fac. D             16:gr.fac. f          
       6.354544334144e+13       1.871832562781e-25       7.294147508219e-09       8.712220953297e+21       1.515460971389e+04       2.384846012083e-10       9.630063929354e+17       4.211093705676e-09       4.486593553207e+43       3.426045151865e+33       1.300826518599e+28       3.733861180667e-08       3.103685840358e+43       7.590279393908e+43       6.152189337338e-06       2.205485562407e+00 
       6.310371732020e+13       1.898129938455e-25       7.345079211518e-09       8.591518706984e+21       1.515460971389e+04       2.401539934167e-10       9.563122074830e+17       4.240571361615e-09       4.363136959379e+43       3.355093831807e+33       1.273887189264e+28       3.733861180667e-08       3.018282409532e+43       7.381419369246e+43       6.246838404066e-06       2.172069114491e+00 
       6.266506188699e+13       1.924796765960e-25       7.396010914817e-09       8.472488713056e+21       1.515460971389e+04       2.418350713707e-10       9.496645555938e+17       4.270255361145e-09       4.243077493099e+43       3.285611870614e+33       1.247505757124e+28       3.733861180667e-08       2.935229005859e+43       7.178306499286e+43       6.341487470795e-06       2.139650172484e+00 
       6.222945569711e+13       1.951838235725e-25       7.448761607520e-09       8.355107803526e+21       1.515460971389e+04       2.435279168703e-10       9.430631137973e+17       4.300147148672e-09       4.126321676367e+43       3.217568838755e+33       1.221670668465e+28       3.733861180667e-08       2.854460964164e+43       6.980782640854e+43       6.436136537523e-06       2.108184728771e+00 
       6.179687755423e+13       1.979259611099e-25       7.499693310820e-09       8.239353131384e+21       1.515460971389e+04       2.452326122883e-10       9.365075608711e+17       4.330248178712e-09       4.012778603396e+43       3.150934936874e+33       1.196370608844e+28       3.733861180667e-08       2.775915398654e+43       6.788694002365e+43       6.530785604251e-06       2.077631326905e+00 
       6.136730640936e+13       2.007066229375e-25       7.552444003522e-09       8.125202166153e+21       1.515460971389e+04       2.469492405744e-10       9.299975778264e+17       4.360559915962e-09       3.902359869832e+43       3.085680982743e+33       1.171594498135e+28       3.733861180667e-08       2.699531153946e+43       6.601891024086e+43       6.625434670980e-06       2.047950879378e+00 
       6.094072135984e+13       2.035263502831e-25       7.605194696225e-09       8.012632689500e+21       1.515460971389e+04       2.486778852584e-10       9.235328478911e+17       4.391083835373e-09       3.794979503924e+43       3.021778398481e+33       1.147331485673e+28       3.733861180667e-08       2.625248757458e+43       6.420228261684e+43       6.720083737708e-06       2.019106500796e+00 
       6.051710164830e+13       2.063856919782e-25       7.657945388928e-09       7.901622790912e+21       1.515460971389e+04       2.504186304552e-10       9.171130564956e+17       4.421821422220e-09       3.690553899588e+43       2.959199198034e+33       1.123570945504e+28       3.733861180667e-08       2.553010373101e+43       6.243564272985e+43       6.814732804436e-06       1.991063354951e+00 
       6.009642666167e+13       2.092852045648e-25       7.712515071034e-09       7.792150863432e+21       1.515460971389e+04       2.521715608684e-10       9.107378912568e+17       4.452774172175e-09       3.589001751309e+43       2.897915974927e+33       1.100302471730e+28       3.733861180667e-08       2.482759756251e+43       6.071761507849e+43       6.909381871164e-06       1.963788514473e+00 
       5.967867593016e+13       2.122254524037e-25       7.767084753141e-09       7.684195599457e+21       1.515460971389e+04       2.539367617945e-10       9.044070419631e+17       4.483943591379e-09       3.490243990837e+43       2.837901890254e+33       1.077515873956e+28       3.733861180667e-08       2.414442209950e+43       5.904686201071e+43       7.004030937893e-06       1.937250831845e+00 
